 time            v(in)           v(out)          i(vdd)         
 0.00000000e+00  0.00000000e+00  3.29999999e+00 -3.51429249e-12 
 1.00000000e-13  0.00000000e+00  3.29999999e+00 -3.51349332e-12 
 2.00000000e-13  0.00000000e+00  3.29999999e+00 -3.51322183e-12 
 4.00000000e-13  0.00000000e+00  3.29999999e+00 -3.51284713e-12 
 8.00000000e-13  0.00000000e+00  3.29999999e+00 -3.51225993e-12 
 1.60000000e-12  0.00000000e+00  3.29999999e+00 -3.51223607e-12 
 3.20000000e-12  0.00000000e+00  3.29999999e+00 -3.51227988e-12 
 6.40000000e-12  0.00000000e+00  3.29999999e+00 -3.51299908e-12 
 1.28000000e-11  0.00000000e+00  3.29999999e+00 -3.51339539e-12 
 2.28000000e-11  0.00000000e+00  3.29999999e+00 -3.51412568e-12 
 3.28000000e-11  0.00000000e+00  3.29999999e+00 -3.51406233e-12 
 4.28000000e-11  0.00000000e+00  3.29999999e+00 -3.51437759e-12 
 5.28000000e-11  0.00000000e+00  3.29999999e+00 -3.51415316e-12 
 6.28000000e-11  0.00000000e+00  3.29999999e+00 -3.51441334e-12 
 7.28000000e-11  0.00000000e+00  3.29999999e+00 -3.51416422e-12 
 8.28000000e-11  0.00000000e+00  3.29999999e+00 -3.51441440e-12 
 9.28000000e-11  0.00000000e+00  3.29999999e+00 -3.51416858e-12 
 1.02800000e-10  0.00000000e+00  3.29999999e+00 -3.51441863e-12 
 1.12800000e-10  0.00000000e+00  3.29999999e+00 -3.51416872e-12 
 1.22800000e-10  0.00000000e+00  3.29999999e+00 -3.51442183e-12 
 1.32800000e-10  0.00000000e+00  3.29999999e+00 -3.51417203e-12 
 1.42800000e-10  0.00000000e+00  3.29999999e+00 -3.51442551e-12 
 1.52800000e-10  0.00000000e+00  3.29999999e+00 -3.51416194e-12 
 1.62800000e-10  0.00000000e+00  3.29999999e+00 -3.51441510e-12 
 1.72800000e-10  0.00000000e+00  3.29999999e+00 -3.51416522e-12 
 1.82800000e-10  0.00000000e+00  3.29999999e+00 -3.51441828e-12 
 1.92800000e-10  0.00000000e+00  3.29999999e+00 -3.51416842e-12 
 2.02800000e-10  0.00000000e+00  3.29999999e+00 -3.51441836e-12 
 2.12800000e-10  0.00000000e+00  3.29999999e+00 -3.51416861e-12 
 2.22800000e-10  0.00000000e+00  3.29999999e+00 -3.51442183e-12 
 2.32800000e-10  0.00000000e+00  3.29999999e+00 -3.51417227e-12 
 2.42800000e-10  0.00000000e+00  3.29999999e+00 -3.51441516e-12 
 2.52800000e-10  0.00000000e+00  3.29999999e+00 -3.51416173e-12 
 2.62800000e-10  0.00000000e+00  3.29999999e+00 -3.51442199e-12 
 2.72800000e-10  0.00000000e+00  3.29999999e+00 -3.51416877e-12 
 2.82800000e-10  0.00000000e+00  3.29999999e+00 -3.51441838e-12 
 2.92800000e-10  0.00000000e+00  3.29999999e+00 -3.51416506e-12 
 3.02800000e-10  0.00000000e+00  3.29999999e+00 -3.51442202e-12 
 3.12800000e-10  0.00000000e+00  3.29999999e+00 -3.51416536e-12 
